storeId,storeName,regionGroup,city,district,address,phone,hours,gmbStatus,gmbOrderingStatus,hasAnyOrderingSystem,hasGmbOrderingSystem,allSourceSystems,gmbSystems,officialSourceUrl,officialStoreUrl,gmbUrl,evidenceLinks,manualReviewReason
daming-024,台北伊通店,北部,台北市,中山區,台北市中山區伊通街123號,02-25007350,10:30~20:30,confirmed,confirmed,True,True,Nidin、Uber Eats,Uber Eats,https://www.damingtea.com.tw/stores/,,https://maps.app.goo.gl/YgpAryKbVKSDLjhF8,"https://order.nidin.shop/menu/20442 | https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF3aGRuZ2sxMRgBOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=ZPYaapXwEf7m1e8P_8zc0Ac&ei=ZPYaapXwEf7m1e8P_8zc0Ac&fo_s=OA,SOE&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp | https://www.ubereats.com/tw/store/%E5%A4%A7%E8%8C%97%E6%9C%AC%E4%BD%8D%E8%A3%BD%E8%8C%B6%E5%A0%82-%E5%8F%B0%E5%8C%97%E4%BC%8A%E9%80%9A%E5%BA%97/dp5KkCDaVr6zfB-KwZBmww?diningMode=DELIVERY&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMiVFOCU4NyVCQSVFNCVCOCVBRCVFNSU4NSVBQyVFNSU5QyU5MiUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo1U1FXbTJzOWFUUVJPOUNSeVBCWFRoQSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyNC4xNDQ4MTg1JTJDJTIybG9uZ2l0dWRlJTIyJTNBMTIwLjY4NDQ3NjIlN0Q%3D&utm_campaign=CM2508147-search-free-nonbrand-google-pas_e_all_acq_Global&utm_medium=search-free-nonbrand&utm_source=google-pas","Stored Google Order panel re-check read visible, clickable providers by mode."
daming-025,台北公館店,北部,台北市,中正區,台北市中正區汀州路3段158之1號,02-23673535,10:30~22:00,confirmed,confirmed,True,True,Nidin、Uber Eats、foodpanda,Uber Eats、foodpanda,https://www.damingtea.com.tw/stores/,,https://maps.app.goo.gl/eVNC2Wcksoc8VyhM6,"https://order.nidin.shop/menu/13603 | https://reurl.cc/NllDGn | https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0ZjR0OGZkMxgBOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=cfYaauGkPNno1e8Pn8nIwAQ&ei=cfYaauGkPNno1e8Pn8nIwAQ&fo_s=OA,SOE&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Stored Google Order panel re-check read visible, clickable providers by mode."
daming-026,台北站前店,北部,台北市,中正區,台北市中正區信陽街11之2號,02-23830688,11:30~20:00,confirmed,confirmed,True,True,Nidin、Uber Eats,Uber Eats,https://www.damingtea.com.tw/stores/,,https://maps.app.goo.gl/R88a75T578GtoQA6A,https://order.nidin.shop/menu/17059 | https://reurl.cc/8XX7N4 | https://www.google.com/search?q=%E5%A4%A7%E8%8C%97%E6%9C%AC%E4%BD%8D%E8%A3%BD%E8%8C%B6%E5%A0%82+%E5%8F%B0%E5%8C%97%E7%AB%99%E5%89%8D%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E6%AD%A3%E5%8D%80%E4%BF%A1%E9%99%BD%E8%A1%9711%E4%B9%8B2%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FNbjMteVFmZmZ4emQ5WWZESlQzNFh6WWJTRGlOU1ZSSURzZldaQ0JVTzBlTWVubHYwSm9WczFjOVpaekRXd2FsYS1vOE9sdzNKUGdtSWtCMUE4S09aRWt4YUdkNnFGcnZZajVyVk81bHdCVzI3UGt2aWJtOUtjEhdya2tiYXNDQkFfWGEycm9QbUt2ajhRNBoiQUpLTEZtTEdIUzZGWDBnWnhSc0VWWjZsOVRXV0pmbGlZdxIEODEyNBoBMyoAMAA4AUAAGCogv8r1swg6AEoCEAE,"Stored Google Order panel re-check read visible, clickable providers by mode."
daming-022,信義永吉店,北部,台北市,信義區,台北市信義區永吉路30巷121號,02-27658868,11:30~20:00,confirmed,confirmed,True,True,Nidin、Uber Eats,Uber Eats,https://www.damingtea.com.tw/stores/,,https://maps.app.goo.gl/zrVvbKNu45XKe33D8,"https://order.nidin.shop/menu/16768 | https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2NmtrbDU5ahgBOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=jPYaat6-Nobp1e8PpMXQ2QM&ei=jPYaat6-Nobp1e8PpMXQ2QM&fo_s=OA,SOE&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp | https://www.ubereats.com/tw/store/%E5%A4%A7%E8%8C%97%E6%9C%AC%E4%BD%8D%E8%A3%BD%E8%8C%B6%E5%A0%82-%E4%BF%A1%E7%BE%A9%E6%B0%B8%E5%90%89%E5%BA%97/C8V1Qy08UvuicKnYd43y7A?srsltid=AfmBOoqUssO47phbsQ5UODx2ej6OtlMcLVa7esSkxw8qV1KxqYE3EkVp","Stored Google Order panel re-check read visible, clickable providers by mode."
daming-020,台北內湖店,北部,台北市,內湖區,台北市內湖區內湖路1段409之1號,02-26270808,10:30~20:00,confirmed,confirmed,True,True,Nidin、Uber Eats、foodpanda,Uber Eats、foodpanda,https://www.damingtea.com.tw/stores/,,https://maps.app.goo.gl/zWbzk2Ge4yDjc8Sk9,"https://order.nidin.shop/menu/19092 | https://reurl.cc/rvvX9k | https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5NDN0Z3Y1ZBgBOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mvYaarW0FufY1e8P5PX2kAk&ei=mvYaarW0FufY1e8P5PX2kAk&fo_s=OA,SOE&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Stored Google Order panel re-check read visible, clickable providers by mode."
daming-007,LaLaport 南港店,北部,台北市,南港區,台北市南港區經貿二路131號B1,02-26538383,11:00~21:30,confirmed,no_gmb_order_button,True,False,Nidin,,https://www.damingtea.com.tw/stores/,,https://g.co/kgs/bNYsNx3,https://order.nidin.shop/menu/22848,No Google Order button was found during human-paced browser check.
daming-019,台北士林店,北部,台北市,士林區,台北市士林區中正路235巷36號,02-28801078,11:00~22:00,confirmed,confirmed,True,True,Nidin、Uber Eats、foodpanda,Uber Eats、foodpanda,https://www.damingtea.com.tw/stores/,,"https://www.google.com/maps/place/%E5%A4%A7%E8%8C%97%E6%9C%AC%E4%BD%8D%E8%A3%BD%E8%8C%B6%E5%A0%82-%E5%8F%B0%E5%8C%97%E5%A3%AB%E6%9E%97%E5%BA%97/@25.0943054,121.5234909,17z/data=!3m1!4b1!4m6!3m5!1s0x3442af400137b4d9:0x6723df4928bcd2fb!8m2!3d25.0943006!4d121.5260712!16s%2Fg%2F11ks08mxyl?entry=tts&g_ep=EgoyMDI0MDkyMi4wKgBIAVAD","https://order.nidin.shop/menu/16282 | https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFrczA4bXh5bBgBOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=rfYaapGjOKmR1e8PhIugwA8&ei=rfYaapGjOKmR1e8PhIugwA8&fo_s=OA,SOE&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp | https://www.ubereats.com/tw/store/%E5%A4%A7%E8%8C%97%E6%9C%AC%E4%BD%8D%E8%A3%BD%E8%8C%B6%E5%A0%82-%E5%8F%B0%E5%8C%97%E5%A3%AB%E6%9E%97%E5%BA%97/q_E74zI_U1CsyW9FLwF4hw?diningMode=DELIVERY&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMiVFOCU4NyVCQSVFNCVCOCVBRCVFNSU4NSVBQyVFNSU5QyU5MiUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo1U1FXbTJzOWFUUVJPOUNSeVBCWFRoQSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyNC4xNDQ4MTg1JTJDJTIybG9uZ2l0dWRlJTIyJTNBMTIwLjY4NDQ3NjIlN0Q%3D","Stored Google Order panel re-check read visible, clickable providers by mode."
daming-021,台北通化店,北部,台北市,大安區,台北市大安區文昌街205號,02-27014588,10:30~22:00,confirmed,confirmed,True,True,Nidin、Uber Eats,Nidin、Uber Eats,https://www.damingtea.com.tw/stores/,,https://maps.app.goo.gl/ywrUqxd8QX7zDhsh7,https://order.nidin.shop/menu/15667 | https://reurl.cc/rvvXRb | https://www.google.com/search?q=%E5%A4%A7%E8%8C%97%E6%9C%AC%E4%BD%8D%E8%A3%BD%E8%8C%B6%E5%A0%82+%E5%8F%B0%E5%8C%97%E9%80%9A%E5%8C%96%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A4%A7%E5%AE%89%E5%8D%80%E6%96%87%E6%98%8C%E8%A1%97205%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FNbjMteVFCdmNEWmVlU3lEZmV5WlA0cHBTMjR3RjlRRTJqLV8yUHVoWGU1dnBROHJJTGFfU1l6dk1Kd2oxQ2hhQUhzYjJzLVpKSnZNWV82Wmc1a2lwOFJVTzBlbEhGc0tzUzlLRVMtSHlBVnhDek5hQmQ2Q2djEhd4NzRjYXBHQU80VHExZThQNExfSnFRSRoiQUpLTEZtSTFwS09WU2xVeUlOVXhuMEtIYmlEWW9DMlFfURIEODEyNBoBMyoAMAA4AUAAGCog0_37qQlKAhAB,Human-paced Google Order re-check opened the blue order flow and read providers.
daming-023,台北龍山寺店,北部,台北市,萬華區,台北市萬華區西園路一段226號,0966-444976,10:30~22:00,confirmed,confirmed,True,True,Nidin、Uber Eats、foodpanda,Uber Eats、foodpanda,https://www.damingtea.com.tw/stores/,,https://maps.app.goo.gl/k49EkiajVYrEjgDF9,"https://order.nidin.shop/menu/21984 | https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5YjYzNzUwMxgBOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=x_YaaozcDZ3l1e8PqKHv-Qw&ei=x_YaaozcDZ3l1e8PqKHv-Qw&fo_s=OA,SOE&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp | https://www.ubereats.com/tw/store/%E5%A4%A7%E8%8C%97%E6%9C%AC%E4%BD%8D%E8%A3%BD%E8%8C%B6%E5%A0%82-%E5%8F%B0%E5%8C%97%E9%BE%8D%E5%B1%B1%E5%AF%BA%E5%BA%97/WuvpmxYgWfWog2ipWRRnKw","Stored Google Order panel re-check read visible, clickable providers by mode."
daming-004,宜蘭中山店,北部,宜蘭縣,宜蘭市,宜蘭縣宜蘭市中山路三段193號1樓,03-9355727,10:00~21:30,confirmed,confirmed,True,True,Nidin、Uber Eats、foodpanda,Uber Eats、foodpanda,https://www.damingtea.com.tw/stores/,,https://share.google/huocCk4VrizBmNBl9,"https://order.nidin.shop/menu/27325 | https://reurl.cc/r0ZAm4 | https://www.google.com/search?sca_esv=e7687de8d1b3fbf8&cs=0&output=search&kgmid=/g/11yrt7h2vn&q=%E5%A4%A7%E8%8C%97%E6%9C%AC%E4%BD%8D%E8%A3%BD%E8%8C%B6%E5%A0%82-%E5%AE%9C%E8%98%AD%E5%BA%97&shem=dlvs1&shndl=30&source=sh/x/loc/uni/m1/1&kgs=705ac8fb5f839f34&utm_source=dlvs1,sh/x/loc/uni/m1/1#sv=CAESzQEKuQEStgEKd0FNbjMteVRjdGhZbmN6U1hUQzd3VUVSa1JueTB5NHo4UUphUnJwNXJ3ZzV5b3F0bktiVjZOajVoY000QW5oUU9ZdmhDNEtMT3FtTUpyd2dzTHBSZVpnbmZSdjJOU1c2cUVWRVlNbHdxdVdGQ3FhUC1FM0d1cGZrEhdBaEliYXNfTkJ0ZVp2cjBQbUxHbnNBTRoiQUpLTEZtS2lLcG10bG41dFhQN1RqdUhTbzlZVHdXR29wZxIEODEyNBoBMyoAMAA4AUAAGCog0d3opws6AEoCEAE","Stored Google Order panel re-check read visible, clickable providers by mode."
daming-006,宜蘭羅東店,北部,宜蘭縣,羅東鎮,宜蘭縣羅東鎮中山路三段262號,03-9577311,12:00~20:30,confirmed,confirmed,True,True,Nidin、Uber Eats、foodpanda,Uber Eats、foodpanda,https://www.damingtea.com.tw/stores/,,https://share.google/9VRbpuRteU9643co2,https://order.nidin.shop/menu/23554 | https://reurl.cc/yOm06a | https://www.google.com/search?q=%E5%A4%A7%E8%8C%97%E6%9C%AC%E4%BD%8D%E8%A3%BD%E8%8C%B6%E5%A0%82+%E5%AE%9C%E8%98%AD%E7%BE%85%E6%9D%B1%E5%BA%97+%E5%AE%9C%E8%98%AD%E7%B8%A3%E7%BE%85%E6%9D%B1%E9%8E%AE%E4%B8%AD%E5%B1%B1%E8%B7%AF%E4%B8%89%E6%AE%B5262%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FNbjMteVI0d213M2UwdnpGcjFiTm16Y1U1VWhWdlE3U3k4aEVMcmVyLVZEQVhZVl9ZZ3BSOFVkV3N0QUU4RDlFd2hyT1N3ck5aVzE2VDJ4V0ZHSTVwTnBXRVhWZEYtNWRDLW84QnhJZkdjUUFVRnQ1RkpRM1NZEhc1TDRjYXNPVENPbmgxZThQNnN2bjJBdxoiQUpLTEZtSWFDaUltcmJ4b1R5RnhoWENIeEExWXFUMVN1ZxIEODEyNBoBMyoAMAA4AUAAGCogsK7LOEoCEAE,Human-paced Google Order re-check opened the blue order flow and read providers.
daming-030,三重自強店,北部,新北市,三重區,新北市三重區自強路一段30號,02-29702988,10:30~22:00,confirmed,confirmed,True,True,Nidin、Uber Eats、foodpanda,Uber Eats、foodpanda,https://www.damingtea.com.tw/stores/,,"https://www.google.com/maps/place/%E5%A4%A7%E8%8C%97%E6%9C%AC%E4%BD%8D%E8%A3%BD%E8%8C%B6%E5%A0%82-%E4%B8%89%E9%87%8D%E8%87%AA%E5%BC%B7%E5%BA%97/@25.0915564,121.407274,12z/data=!4m6!3m5!1s0x3442a993d71bb511:0xb70707c5686a77b2!8m2!3d25.0678988!4d121.4985764!16s%2Fg%2F11wftk71lj?entry=ttu&g_ep=EgoyMDI0MTAxNS4wIKXMDSoASAFQAw%3D%3D","https://order.nidin.shop/menu/21138 | https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF3ZnRrNzFsahgBOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=4fYaarLCEeTc1e8PlLiY-QU&ei=4fYaarLCEeTc1e8PlLiY-QU&fo_s=OA,SOE&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp | https://www.ubereats.com/tw/store/%E5%A4%A7%E8%8C%97%E6%9C%AC%E4%BD%8D%E8%A3%BD%E8%8C%B6%E5%A0%82-%E4%B8%89%E9%87%8D%E8%87%AA%E5%BC%B7%E5%BA%97/4JuUunC6WQehulaaCHY6Pg?srsltid=AfmBOoq7Pk4vxY7KDo5KlZwvFsArgc3f1wF-FVyqWu6BrRSXP5vSDbqH","Stored Google Order panel re-check read visible, clickable providers by mode."
daming-027,土城裕民店,北部,新北市,土城區,新北市土城區裕民路84號,02-22600533,10:30~21:30,confirmed,confirmed,True,True,Nidin、Uber Eats,Uber Eats,https://www.damingtea.com.tw/stores/,,https://maps.app.goo.gl/SfXwp5UFRuLnWALR8,"https://order.nidin.shop/menu/18457 | https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2c2JnajFiMhgBOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=7vYaapWiMc6Qvr0Pye-c0A8&ei=7vYaapWiMc6Qvr0Pye-c0A8&fo_s=OA,SOE&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp | https://www.ubereats.com/tw/store/%E5%A4%A7%E8%8C%97%E6%9C%AC%E4%BD%8D%E8%A3%BD%E8%8C%B6%E5%A0%82-%E5%9C%9F%E5%9F%8E%E8%A3%95%E6%B0%91%E5%BA%97/WGu6qI7HUjK9or45Veh0_g?srsltid=AfmBOor64iJ3Q_A1-NYltaupH5v45Bh6_R-ZIe-4iYzfkamtlZkXrBwP","Stored Google Order panel re-check read visible, clickable providers by mode."
daming-028,新莊幸福店,北部,新北市,新莊區,新北市新莊區幸福路838號,02-29978585,10:00~21:00,confirmed,confirmed,True,True,Nidin、Uber Eats,Uber Eats,https://www.damingtea.com.tw/stores/,,https://maps.app.goo.gl/Q2sZcxon4fRMDpDg9,"https://order.nidin.shop/menu/15916 | https://reurl.cc/A22Dd8 | https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFrcWptajRqYxgBOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=_PYaarvJDajavr0P_JSvoAM&ei=_PYaarvJDajavr0P_JSvoAM&fo_s=OA,SOE&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Stored Google Order panel re-check read visible, clickable providers by mode."
daming-017,板橋府中店,北部,新北市,板橋區,新北市板橋區重慶路33號,02-29592828,11:00~21:00,confirmed,confirmed,True,True,Nidin、Uber Eats、外送平台（待確認）,Uber Eats,https://www.damingtea.com.tw/stores/,,https://share.google/6hKD5ALlFfHUOTnts,"https://order.nidin.shop/menu/23746 | https://reurl.cc/R2k80Z | https://www.google.com/search?sca_esv=e42243e293ad428e&sxsrf=ANbL-n6omaeCVJ7cveXw8CT3_DPalIR1GQ:1777015689741&kgmid=/g/11xdtfkyp3&q=%E5%A4%A7%E8%8C%97%E6%9C%AC%E4%BD%8D%E8%A3%BD%E8%8C%B6%E5%A0%82-%E6%9D%BF%E6%A9%8B%E5%BA%9C%E4%B8%AD%E5%BA%97&shem=dlvs1&shndl=30&source=sh/x/loc/uni/m1/1&kgs=d700db1d0badff84&utm_source=dlvs1,sh/x/loc/uni/m1/1#sv=CAESzQEKuQEStgEKd0FNbjMteVQ5Y2NSb0o0cl9hTWVxcHRXMUZGRWlURmhpY29LWklNdmdVRkFodFhPWFlpLVJXWnkwSVVfcmZCNU1MOV9MN0ZzbWNmZko2V09HclZYMW93dE1rV01MZEdZcW1uTWlaMTdNNnU0d3UwNjNmVFZZeE5rEhdkUkliYXVyOEZPM2UxZThQaHVPNnVRRRoiQUpLTEZtSU4xaTlLWXNZZ1NiekpHblhZZmY5TlZta3NHdxIEODEyNBoBMyoAMAA4AUAAGCog67P2tQE6AEoCEAE","Stored Google Order panel re-check read visible, clickable providers by mode. Re-check was blocked by Google on 2026-06-01; preserved prior Google Order evidence/status instead of downgrading."
