storeId,storeName,regionGroup,city,district,address,phone,hours,gmbStatus,gmbOrderingStatus,hasAnyOrderingSystem,hasGmbOrderingSystem,gmbPickupProviders,gmbDeliveryProviders,allSourceSystems,gmbSystems,officialSourceUrl,officialStoreUrl,gmbUrl,gmbOrderPanelUrl,manualReviewReason
truedan-tw-43-01,南投埔里店,中部,南投縣,埔里鎮,南投縣埔里鎮大城里中山路三段267號,04-9291-6606,10:00-21:00,confirmed,confirmed,True,True,foodpanda,Uber Eats; foodpanda,Ocard; Uber Eats; foodpanda,Uber Eats; foodpanda,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=43,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=43,"https://www.google.com/maps/place/%E7%8F%8D%E7%85%AE%E4%B8%B9%E5%8D%97%E6%8A%95%E5%9F%94%E9%87%8C%E5%BA%97/@23.9684427,120.9585211,17z/data=!3m1!4b1!4m6!3m5!1s0x3468d99056c7be8d:0xdfe41f9b4328fadc!8m2!3d23.9684427!4d120.9585211!16s%2Fg%2F11lkfp38b1?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFsa2ZwMzhiMRgAOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=AbY4avPbHbC-vr0Pn4SMoAY&ei=AbY4avPbHbC-vr0Pn4SMoAY&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",
truedan-tw-12-03,台中中工店,中部,台中市,西屯區,台中市西屯區中工三路42-1號,04-2359-4868,三～六 09:30-21:30 日～二 10:00-20:30,confirmed,confirmed,True,True,foodpanda,Nidin; Uber Eats; foodpanda,Nidin; Ocard; Uber Eats; foodpanda,Nidin; Uber Eats; foodpanda,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=12,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=12,"https://www.google.com/maps/place/%E7%8F%8D%E7%85%AE%E4%B8%B9+%E5%8F%B0%E4%B8%AD%E4%B8%AD%E5%B7%A5%E5%BA%97/@24.1800031,120.6191448,17z/data=!3m1!4b1!4m6!3m5!1s0x346915093904ac71:0x82e225b6b2868056!8m2!3d24.1800031!4d120.6191448!16s%2Fg%2F11j5zkztwj?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFqNXprenR3ahgAOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=IbY4arT2L8nt1e8PxpCCmAU&ei=IbY4arT2L8nt1e8PxpCCmAU&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",
truedan-tw-12-06,台中南屯店,中部,台中市,南屯區,台中市南屯區南屯路二段393號,04-2386-3839,二～六:09:30～21:00 日、一:10:00～20:30,confirmed,confirmed,True,True,foodpanda,foodpanda,Ocard; foodpanda,foodpanda,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=12,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=12,"https://www.google.com/maps/place/%E7%8F%8D%E7%85%AE%E4%B8%B9+%E5%8F%B0%E4%B8%AD%E5%8D%97%E5%B1%AF%E5%BA%97/@24.1381556,120.6437195,17z/data=!3m1!4b1!4m6!3m5!1s0x34693db2d41ef923:0x905df841f4b8ab33!8m2!3d24.1381556!4d120.6437195!16s%2Fg%2F11rgl68s0g?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFyZ2w2OHMwZxgAOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=NbY4aq2gBOjX1e8PmIupkQE&ei=NbY4aq2gBOjX1e8PmIupkQE&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",
truedan-tw-12-04,台中建和店,中部,台中市,北屯區,台中市北屯區建和路二段26號,04-2436-3851,10:00-21:00,confirmed,confirmed,True,True,foodpanda,Uber Eats; foodpanda,Ocard; Uber Eats; foodpanda,Uber Eats; foodpanda,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=12,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=12,"https://www.google.com/maps/place/%E7%8F%8D%E7%85%AE%E4%B8%B9%EF%BC%88%E5%8F%B0%E4%B8%AD%E5%BB%BA%E5%92%8C%E5%BA%97%EF%BC%89/@24.1672837,120.7246177,17z/data=!3m1!4b1!4m6!3m5!1s0x3469192f3dfa0d21:0x664142d64a498e21!8m2!3d24.1672837!4d120.7246177!16s%2Fg%2F11t9pckzxh?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0OXBja3p4aBgAOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=RbY4av6zMc7u1e8Pto-OsAQ&ei=RbY4av6zMc7u1e8Pto-OsAQ&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",
truedan-tw-12-05,台中昌平店,中部,台中市,北屯區,台中市北屯區昌平路一段200號一樓,04-2235-0002,週一~週日 10:00-21:00,confirmed,confirmed,True,True,Nidin; foodpanda,Nidin; Uber Eats; foodpanda,Nidin; Ocard; Uber Eats; foodpanda,Nidin; Uber Eats; foodpanda,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=12,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=12,"https://www.google.com/maps/place/%E7%8F%8D%E7%85%AE%E4%B8%B9+%E5%8F%B0%E4%B8%AD%E6%98%8C%E5%B9%B3%E5%BA%97/@24.1696397,120.6919304,17z/data=!3m1!4b1!4m6!3m5!1s0x346917848a99f48f:0x3bc410ef09362d2f!8m2!3d24.1696397!4d120.6919304!16s%2Fg%2F11jp06swz5?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFqcDA2c3d6NRgAOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=V7Y4at6jBtipvr0PjfeBsAI&ei=V7Y4at6jBtipvr0PjfeBsAI&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",
truedan-tw-12-02,台中精誠店,中部,台中市,西區,台中市西區精誠路196號1F,04-2310-8881,10:00-23:00,confirmed,confirmed,True,True,foodpanda,Uber Eats; foodpanda,Ocard; Uber Eats; foodpanda,Uber Eats; foodpanda,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=12,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=12,"https://www.google.com/maps/place/%E7%8F%8D%E7%85%AE%E4%B8%B9+%E5%8F%B0%E4%B8%AD%E7%B2%BE%E8%AA%A0%E5%BA%97/@24.1515142,120.6549975,17z/data=!3m1!4b1!4m6!3m5!1s0x34693d5a6fdb813d:0x453c08f6f0ad9b80!8m2!3d24.1515142!4d120.6549975!16s%2Fg%2F11hdv60fxt?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoZHY2MGZ4dBgAOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Z7Y4auayJJzt1e8P0YKy-QQ&ei=Z7Y4auayJJzt1e8P0YKy-QQ&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",
truedan-tw-12-01,台中豐原店,中部,台中市,豐原區,台中市豐原區豐榮里三民路157號1樓,04-25257155,10:00-21:30,confirmed,confirmed,True,True,foodpanda,Uber Eats; foodpanda,Ocard; Uber Eats; foodpanda,Uber Eats; foodpanda,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=12,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=12,"https://www.google.com/maps/place/%E7%8F%8D%E7%85%AE%E4%B8%B9+%E5%8F%B0%E4%B8%AD%E8%B1%90%E5%8E%9F%E5%BA%97/@24.253178,120.71823,17z/data=!3m1!4b1!4m6!3m5!1s0x34691b4175134e31:0x281e4a8bc9fd96bf!8m2!3d24.253178!4d120.71823!16s%2Fg%2F11jlf69wb4?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFqbGY2OXdiNBgAOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=eLY4av_JC-rV1e8P3biBqAc&ei=eLY4av_JC-rV1e8P3biBqAc&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",
truedan-tw-54-01,雲林斗六店,中部,雲林縣,斗六市,雲林縣斗六市民生南路207號,05-5362-816,10:00-21:30,confirmed,confirmed,True,True,foodpanda,Uber Eats; foodpanda,Ocard; Uber Eats; foodpanda,Uber Eats; foodpanda,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=54,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=54,"https://www.google.com/maps/place/%E7%8F%8D%E7%85%AE%E4%B8%B9+%E9%9B%B2%E6%9E%97%E6%96%97%E5%85%AD%E5%BA%97/@23.7000369,120.5371018,17z/data=!3m1!4b1!4m6!3m5!1s0x346ec9c208ae038b:0xbbeaa434de62970d!8m2!3d23.7000369!4d120.5371018!16s%2Fg%2F11rzfj7ztm?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFyemZqN3p0bRgAOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=h7Y4at2CCPTW1e8PwvyBuAo&ei=h7Y4at2CCPTW1e8PwvyBuAo&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",
truedan-tw-16-01,中山赤峰店,北部,台北市,大同區,台北市大同區承德路二段1巷38號,02-25586858,10:00-20:00,confirmed,confirmed,True,True,foodpanda,Uber Eats; foodpanda,Ocard; Uber Eats; foodpanda,Uber Eats; foodpanda,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=16,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=16,"https://www.google.com/maps/place/%E7%8F%8D%E7%85%AE%E4%B8%B9%E4%B8%AD%E5%B1%B1%E8%B5%A4%E5%B3%B0%E5%BA%97/@25.0533484,121.5190495,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a9142ad41055:0x53760f5d9840e87d!8m2!3d25.0533484!4d121.5190495!16s%2Fg%2F11y865kms7?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5ODY1a21zNxgAOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=mLY4arutEOXO1e8P-eaCsAY&ei=mLY4arutEOXO1e8P-eaCsAY&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",
truedan-tw-16-13,中正南門店,北部,台北市,中正區,台北市中正區羅斯福路一段12號,02-2397-1828,周三至周日10:00-21:00 周一至周二10:00~20:00,confirmed,confirmed,True,True,foodpanda,Uber Eats; foodpanda,Ocard; Uber Eats; foodpanda,Uber Eats; foodpanda,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=16,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=16,"https://www.google.com/maps/place/%E7%8F%8D%E7%85%AE%E4%B8%B9+%E4%B8%AD%E6%AD%A3%E5%8D%97%E9%96%80%E5%BA%97/@25.0319699,121.5185634,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a99eb45633a3:0x8f1fbe4641ec4c47!8m2!3d25.0319699!4d121.5185634!16s%2Fg%2F11g8lpdmqw?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFnOGxwZG1xdxgAOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=qbY4avSLK63i1e8PvYuEiAc&ei=qbY4avSLK63i1e8PvYuEiAc&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",
truedan-tw-16-03,信義市府店,北部,台北市,信義區,台北市信義區忠孝東路五段17號之1,02-2742-3896,10:00-21:00,confirmed,confirmed,True,True,foodpanda,foodpanda,Ocard; foodpanda,foodpanda,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=16,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=16,"https://www.google.com/maps/place/%E7%8F%8D%E7%85%AE%E4%B8%B9+%E4%BF%A1%E7%BE%A9%E5%B8%82%E5%BA%9C%E5%BA%97/@25.0414512,121.5656269,17z/data=!3m1!4b1!4m6!3m5!1s0x3442abb8ffffffff:0x95d55b126063744e!8m2!3d25.0414512!4d121.5656269!16s%2Fg%2F11g9nl9y_0?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFnOW5sOXlfMBgAOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=ubY4apbBDOO7vr0PxtuPiA4&ei=ubY4apbBDOO7vr0PxtuPiA4&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",
truedan-tw-16-05,內湖園區店,北部,台北市,內湖區,台北市內湖區內湖路一段411巷8號1樓,02-2658-0301,10:00-21:00 06/11-07/10 營業時間：11:00-20:00,confirmed,confirmed,True,True,Nidin; foodpanda,Nidin; foodpanda,Nidin; Ocard; foodpanda,Nidin; foodpanda,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=16,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=16,"https://www.google.com/maps/place/%E7%8F%8D%E7%85%AE%E4%B8%B9+%E5%85%A7%E6%B9%96%E5%9C%92%E5%8D%80%E5%BA%97/@25.0820921,121.5710158,17z/data=!3m1!4b1!4m6!3m5!1s0x3442ad610b21d5c3:0x7eee63b2f9eeeaa5!8m2!3d25.0820921!4d121.5710158!16s%2Fg%2F11j6gy7p8c?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFqNmd5N3A4YxgAOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=ybY4arSeN8mOvr0P0f-BUA&ei=ybY4arSeN8mOvr0P0f-BUA&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",
truedan-tw-16-04,內湖江南店,北部,台北市,內湖區,台北市內湖區江南街108號,02-2799-8296,10:00-21:00,confirmed,confirmed,True,True,foodpanda,Uber Eats; foodpanda,Ocard; Uber Eats; foodpanda,Uber Eats; foodpanda,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=16,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=16,"https://www.google.com/maps/place/%E7%8F%8D%E7%85%AE%E4%B8%B9+%E5%85%A7%E6%B9%96%E6%B1%9F%E5%8D%97%E5%BA%97/@25.0767932,121.5766132,17z/data=!3m1!4b1!4m6!3m5!1s0x3442ac64abf70f37:0xb49ddd695f569309!8m2!3d25.0767932!4d121.5766132!16s%2Fg%2F11cs0rm2gn?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjczBybTJnbhgAOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=27Y4aql26dnV7w_UtIOIDA&ei=27Y4aql26dnV7w_UtIOIDA&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",
truedan-tw-16-15,南港園區店,北部,台北市,南港區,台北市南港區新民街58號,02-2783-1617,一～五 10:30-19:30、 六、日 11:00-19:00,confirmed,confirmed,True,True,foodpanda,Uber Eats; foodpanda,Ocard; Uber Eats; foodpanda,Uber Eats; foodpanda,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=16,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=16,"https://www.google.com/maps/place/%E7%8F%8D%E7%85%AE%E4%B8%B9+%E5%8D%97%E6%B8%AF%E5%9C%92%E5%8D%80%E5%BA%97/@25.0559593,121.6117307,17z/data=!3m1!4b1!4m6!3m5!1s0x3442ab9784a1b19d:0x2211d51d43b4c3aa!8m2!3d25.0559593!4d121.6117307!16s%2Fg%2F11hsvsq1sx?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoc3ZzcTFzeBgAOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=67Y4asTnNoTc1e8PwNGBqAY&ei=67Y4asTnNoTc1e8PwNGBqAY&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",
truedan-tw-16-07,台北北醫店,北部,台北市,信義區,台北市信義區莊敬路318號1樓,02-2720-5515,週一～週五10：00-21：00 週六～週日10：30-21：00,confirmed,confirmed,True,True,foodpanda,Uber Eats; foodpanda,Ocard; Uber Eats; foodpanda,Uber Eats; foodpanda,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=16,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=16,"https://www.google.com/maps/place/%E7%8F%8D%E7%85%AE%E4%B8%B9-%E5%8F%B0%E5%8C%97%E5%8C%97%E9%86%AB%E5%BA%97(%E5%8F%AF%E4%BD%BF%E7%94%A8Ocard%E7%B7%9A%E4%B8%8A%E9%BB%9E%E9%A4%90%EF%BC%89/@25.028119,121.563306,17z/data=!3m1!4b1!4m6!3m5!1s0x3442ab45e5dc9031:0x578823a47746fe23!8m2!3d25.028119!4d121.563306!16s%2Fg%2F11h97g8rtb?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoOTdnOHJ0YhgAOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=_bY4ap_ZFsP41e8PtJ-coAw&ei=_bY4ap_ZFsP41e8PtJ-coAw&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",
truedan-tw-16-09,台北南京店,北部,台北市,松山區,台北市松山區南京東路四段108號,02-2747-5917,一～五 10:30-21:00 六、日 11:00-20:00,confirmed,confirmed,True,True,foodpanda,foodpanda,Ocard; foodpanda,foodpanda,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=16,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=16,"https://www.google.com/maps/place/%E7%8F%8D%E7%85%AE%E4%B8%B9+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E5%BA%97/@25.0514395,121.5545223,17z/data=!3m1!4b1!4m6!3m5!1s0x3442ab4194c84cb5:0xee3d9e8fa0f9dac2!8m2!3d25.0514395!4d121.5545223!16s%2Fg%2F11j9cyw6bb?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFqOWN5dzZiYhgAOgMI8A0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Drc4arrXDJPr1e8P__eB6AI&ei=Drc4arrXDJPr1e8P__eB6AI&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",
